name,perimeter,area,complexity,type,experiment
chineseA,8003.59797974645,819791,6.218097416538880,chinese,3
chineseB,8308.319984622160,830034,6.617907346879510,chinese,3
chineseC,8950.846896556760,787391,8.097070987801390,chinese,3
chineseD,8352.981889505620,829243,6.695629303996830,chinese,3
chineseE,9530.948627109590,789491,9.156198720554130,chinese,3
chineseF,9311.115149351010,792511,8.70538999897942,chinese,3
chineseG,8624.568542494930,803085,7.370609079247600,chinese,3
chineseH,8353.357790038060,837225,6.632390899993390,chinese,3
chineseI,9059.71277015975,800777,8.156566910227590,chinese,3
chineseJ,8411.93520831139,824127,6.832628862038950,chinese,3
chineseK,9946.513852074070,781504,10.07397141791590,chinese,3
chineseL,9512.993216262740,792960,9.081827103805750,chinese,3
chineseM,9111.124025129320,809034,8.165208511120340,chinese,3
chineseN,8331.885568524420,823550,6.707902751361000,chinese,3
chineseO,9670.222438151590,758853,9.806305268069690,chinese,3
chineseP,9936.767819518330,783060,10.034260706748000,chinese,3
easyA,2904.5138520739400,229312,2.927590019293230,simple,2
easyAA,3916.0285706997600,214832,5.680451651852270,simple,2
easyB,3855.597979746450,218920,5.403662106745660,simple,2
easyBB,2915.487373415280,227529,2.972868557209420,simple,2
easyC,3780.281312654610,214024,5.313441436599960,simple,2
easyCC,3994.8956697920200,214945,5.908451466777010,simple,2
easyD,3770.687516990280,217892,5.192660597280240,simple,2
easyDD,3439.1240251292300,219528,4.2874186355946800,simple,2
easyE,3654.052957317390,217316,4.889316008693210,simple,2
easyEE,3792.3515139147100,216770,5.279686422272250,simple,2
easyF,3767.9839815465500,212301,5.321771113631700,simple,2
easyFF,3165.4558441227200,223856,3.562000009842430,simple,2
easyG,3680.7695526217000,215356,5.006225585598630,simple,2
easyH,3263.6984848098300,222460,3.8102920340725800,simple,2
easyI,3371.3940110268300,219644,4.118032917189860,simple,2
easyJ,3921.595021153600,215701,5.673662035779860,simple,2
easyK,3502.070201260100,218760,4.461407739800530,simple,2
easyL,4528.417531092690,207321,7.871178604788240,simple,2
easyM,3634.489465456350,218328,4.814681115429000,simple,2
easyN,3269.4558441227200,221368,3.842609457498730,simple,2
easyO,3586.4163056034400,219468,4.663804431721240,simple,2
easyP,3922.670273047580,213801,5.727221929863940,simple,2
easyQ,4026.4549775709400,213235,6.050306000835670,simple,2
easyR,3214.582827844780,223974,3.6714851041635700,simple,2
easyS,3274.3086578651100,220156,3.875242129841930,simple,2
easyT,3640.5626253092600,218638,4.823935612866290,simple,2
easyU,4392.4692629207900,207764,7.389878537136120,simple,2
easyV,3283.4701294725600,225202,3.8096408274546000,simple,2
easyW,4046.6113985445200,211060,6.1740082178974500,simple,2
easyX,3426.426406871190,220104,4.244680612585510,simple,2
easyY,3792.72914755063,215885,5.30238583505267,simple,2
easyZ,3447.96969619668,217790,4.343892624303010,simple,2
letterA,3188.8254685319000,223656,3.6180209935703200,familiar,1
letterAA,2991.3107499061300,222691,3.197499858297400,familiar,1
letterB,2700.5584412271400,225489,2.573783044083650,familiar,1
letterBB,3253.8305191657900,214472,3.928342909699260,familiar,1
letterC,3575.0306627407700,219006,4.644015546628500,familiar,1
letterCC,3053.820417898010,218917,3.389983910046510,familiar,1
letterD,2637.3696244091700,228489,2.4225170308450600,familiar,1
letterDD,3131.445742854940,215988,3.612853034938850,familiar,1
letterE,2681.2548339959400,224144,2.5523439746947400,familiar,1
letterEE,2862.6173157302000,224431,2.905586970495720,familiar,1
letterF,2867.597979746450,221052,2.9602761000414200,familiar,1
letterFF,2870.5269119345800,221513,2.960153027155180,familiar,1
letterG,3317.4772721475200,212415,4.123071503959670,familiar,1
letterH,3073.941125496950,215508,3.48913545619168,familiar,1
letterI,3046.783837971550,222336,3.322489630664680,familiar,1
letterJ,2723.078210486790,225805,2.6132250449755100,familiar,1
letterK,3145.6955262169800,218924,3.5969146337701100,familiar,1
letterL,2679.2132034356000,224176,2.54809473104452,familiar,1
letterM,3709.5584412271500,208939,5.241010853366130,familiar,1
letterN,3215.5290039756200,213465,3.8545024032782100,familiar,1
letterO,3058.1635636485100,219664,3.388072285390950,familiar,1
letterP,2925.563491861030,218135,3.122366202670720,familiar,1
letterQ,3283.5432893254800,210194,4.081833762918980,familiar,1
letterR,3170.6467529817100,212623,3.762492240610210,familiar,1
letterS,3201.4183976444600,214965,3.7940867244296700,familiar,1
letterT,2729.455844122720,224244,2.643756485486600,familiar,1
letterU,2732.0315292925500,227129,2.615103977721450,familiar,1
letterV,2933.2102448427300,221784,3.087068813514140,familiar,1
letterW,3660.589970519720,209790,5.082852698177650,familiar,1
letterX,3034.839753881750,217093,3.37610421736362,familiar,1
letterY,3057.1930009000300,219396,3.390058120316610,familiar,1
letterZ,3049.0437226013700,217793,3.3968277363757500,familiar,1
mediumA,3833.740115370180,208796,5.601615562980820,unfamiliar,3
mediumAA,5320.568542494930,192096,11.727026298196300,unfamiliar,3
mediumB,5445.706852974070,197358,11.957597175868200,unfamiliar,1
mediumBB,4451.366665816360,200874,7.849701582243070,unfamiliar,1
mediumC,4349.349421873640,205720,7.3174913871143400,unfamiliar,1
mediumCC,4499.085353161730,202575,7.9515675568729800,unfamiliar,3
mediumD,4298.783837971570,200940,7.318379945906300,unfamiliar,3
mediumDD,5085.5391052434,193320,10.64602167003810,unfamiliar,1
mediumE,4069.2691193458100,208903,6.3078053700337300,unfamiliar,3
mediumEE,4459.134126397030,205781,7.689284572920190,unfamiliar,1
mediumF,4261.023520065860,210861,6.852069148186010,unfamiliar,1
mediumFF,4083.8822509939100,209917,6.322501606934580,unfamiliar,1
mediumG,4445.415439051630,197985,7.942963283707520,unfamiliar,3
mediumH,4582.354472507530,197428,8.46367060433764,unfamiliar,3
mediumI,3911.39696961967,214256,5.6822577963016600,unfamiliar,1
mediumJ,4459.87041662258,208965,7.574623750557570,unfamiliar,3
mediumK,4620.075610831450,202035,8.407399611205340,unfamiliar,1
mediumL,4659.422581726580,195350,8.843840892877690,unfamiliar,3
mediumM,4088.6113985445100,205075,6.486778758098030,unfamiliar,3
mediumN,4862.81536726413,196290,9.586664346722690,unfamiliar,1
mediumO,4288.094587877740,208243,7.026651872048750,unfamiliar,3
mediumP,4702.545381366550,196000,8.978422852828970,unfamiliar,3
mediumQ,3964.073159852900,207778,6.018300886488480,unfamiliar,3
mediumR,4407.959594928930,201358,7.678854824915230,unfamiliar,1
mediumS,4184.984848098360,208247,6.692666158347620,unfamiliar,1
mediumT,4052.548339959410,213800,6.112781087284130,unfamiliar,3
mediumU,4128.56558390214,208962,6.491143280708220,unfamiliar,1
mediumV,4535.0163773908900,202374,8.08710607804173,unfamiliar,1
mediumW,4098.2783540618,202709,6.59356070953313,unfamiliar,3
mediumX,4452.697618258080,200518,7.86834109248506,unfamiliar,1
mediumY,4900.597113194700,203033,9.412857931577830,unfamiliar,3
mediumZ,3957.3607486306900,214043,5.822377907680600,unfamiliar,1